Age,M,F
0-4,17124785,16704305
5-9,16125159,15675357
10-14,15152791,14648403
15-19,13280320,12786667
20-24,11130512,10731427
25-29,9017930,8715678
30-34,7538669,7304101
35-39,6415363,6256760
40-44,5608713,5475974
45-49,4630435,4548940
50-54,3531761,3525540
55-59,2703817,2751296
60-64,2046329,2154828
65-69,1476034,1601161
70-74,961962,1073053
75-79,566305,629688
80-84,264848,299181
85-89,82397,100226
90-94,14369,20622
95-99,1218,2352
100+,49,142
